model,dataset,seed,corruption,s1,s2,s3,s4,s5,mean
baseline_res50,cifar10,42,glass_blur,52.6,54.7,57.97,41.23,44.57,50.214
baseline_res50,cifar10,42,motion_blur,80.67,72.5,64.63,63.8,56.38,67.596
baseline_res50,cifar10,42,zoom_blur,78.46,75.87,71.24,66.57,59.38,70.304
baseline_res50,cifar10,42,snow,80.33,68.79,72.08,68.56,64.82,70.916
baseline_res50,cifar10,42,frost,82.63,76.64,67.59,67.03,57.38,70.254
baseline_res50,cifar10,42,fog,86.24,83.88,80.19,75.3,59.29,76.98
baseline_res50,cifar10,42,brightness,86.75,86.18,85.19,84.01,80.73,84.572
baseline_res50,cifar10,42,contrast,85.37,78.13,70.74,57.73,29.37,64.268
baseline_res50,cifar10,42,elastic_transform,80.23,79.76,76.58,71.84,67.46,75.174
baseline_res50,cifar10,42,pixelate,84.2,80.32,77.43,67.11,50.08,71.828
baseline_res50,cifar10,42,jpeg_compression,82.44,79.42,78.22,76.9,74.52,78.3
shape_res18,cifar100,42,gaussian_noise,52.72,43.12,34.04,30.24,27.17,37.458
shape_res18,cifar100,42,shot_noise,57.36,52.13,40.1,36.17,29.76,43.104
shape_res18,cifar100,42,impulse_noise,51.84,39.91,31.66,20.21,14.24,31.572
shape_res18,cifar100,42,defocus_blur,62.1,60.02,56.98,53.22,42.93,55.05
shape_res18,cifar100,42,glass_blur,44.58,45.76,46.72,32.94,34.71,40.942
shape_res18,cifar100,42,motion_blur,58.88,54.06,48.17,48.35,42.83,50.458
shape_res18,cifar100,42,zoom_blur,57.38,56.05,53.55,50.94,47.01,52.986
shape_res18,cifar100,42,snow,58.37,52.48,50.09,46.14,44.73,50.362
shape_res18,cifar100,42,frost,58.34,53.47,47.5,46.87,40.8,49.396
shape_res18,cifar100,42,fog,61.08,55.19,48.58,38.76,22.03,45.128
shape_res18,cifar100,42,brightness,62.44,61.19,59.63,56.91,50.61,58.156
shape_res18,cifar100,42,contrast,60.59,51.6,45.05,35.94,17.54,42.144
shape_res18,cifar100,42,elastic_transform,55.78,55.91,54.74,49.58,42.57,51.716
shape_res18,cifar100,42,pixelate,61.62,60.14,59.88,57.31,52.35,58.26
shape_res18,cifar100,42,jpeg_compression,56.16,52.85,51.51,50.75,48.52,51.958
shape_res18,cifar10,42,gaussian_noise,82.76,77.84,70.56,66.5,63.15,72.162
shape_res18,cifar10,42,shot_noise,84.51,82.35,75.17,71.57,65.64,75.848
shape_res18,cifar10,42,impulse_noise,81.97,77.12,71.57,60.86,50.62,68.428
shape_res18,cifar10,42,defocus_blur,85.88,84.76,82.25,78.53,68.3,79.944
